,date,id,Tweets,likes,retweets
52,2023-02-06 16:19:20+00:00,1622631035581399040,#AdaniStromsEnds https://t.co/jdHPLzVe2f -Indeed opposition is stretching as Adani Shares are bouncing back. Hindenberg is a defaulter company in USA and its report is just a gimmick to make profit.,0,0
53,2023-02-06 16:10:18+00:00,1622628762331541505,@yarra44 @Lilac_Solutions @HindenburgRes @VulcanEnergyRes @JCap_Research Hindenberg report was standard lithium.  Jcap also did a vulcan one.,1,0
54,2023-02-06 16:00:17+00:00,1622626239646404612,#HindenburgExposed #Hindenberg Make a report against #Adani clearly... Don't type I believe or I think in ur report...Let's face to face honestly with   #AdaniEnterprises we #IndiansWithAdani ...If u hv honesty let's clear... https://t.co/5AIOY3gYJy,20,10
55,2023-02-06 15:58:47+00:00,1622625865522900993,@_anujsinghal Don't u feel ashamed that some of allegations made by Hindenberg were in public domain but leading business channel like urs neighter highlighted it nor investigated it thoroughly made a special extensive report on it..u must be having ur correspondents in UK &amp; Mauritius..,0,0
56,2023-02-06 15:58:12+00:00,1622625718248296450,"@Bhattavakya Yes.. I think he was referring to what Hindenberg did in specific... As they kinda induced the price fall in Adani shares by releasing their report.

Otherwise I agree with what you explained.",1,0
57,2023-02-06 15:56:53+00:00,1622625384595619840,"WE INDIAN BELIEVE THAT 'HINDENBERG' IS A WORLD FAMOUS FRAUD COMPANY,NO INDIAN HAS ANY BELIEF ON ANY SATEMETOF THEM BECAUSE,SBI REPORT,LIC REPORT ETC.HAS HIGH IMPORTANCE OF INDIAN PEOPLE,DISCLAIMER.",0,0
58,2023-02-06 15:52:34+00:00,1622624299709509635,"@ThePollLady After Hindenberg report, No One Believe Whats USA says ,It's all False like Wild Fox.",0,0
59,2023-02-06 15:51:15+00:00,1622623966023274499,"@rajeshk31627395 @ashoswai Bus karo chacha.  LIC को सिर्फ अदानी की कंपनी मिलती है invest करने को, समझदार इसी से समझ जाते हैं, hindenberg report की भी जरूरत नहीं है इसमें। वैसे अदानी साहब case क्यों नही करते hindenberg के खिलाफ अगर इतने ही honest हैं तो।",0,0
60,2023-02-06 15:42:52+00:00,1622621860054839297,#Hindenberg report came on the 24th and on the 27th LIC went and invested 300 crores in Adani enterprises. Wtf. Dumb f#ck Indians sleep .,8,2
61,2023-02-06 15:27:53+00:00,1622618086447943682,"@ipo_mantra Yes, if Hindenberg gives the positive report.",0,0
62,2023-02-06 15:25:52+00:00,1622617581290127361,"@news24tvchannel सहवाग सही ही कह रहे होंगे..?...वैसे भी कोरोना काल में अडानी ग्रुप ने PM CARE FUND @100करोड़ दिया जो TATA group के @1500 करोड़ से तो बहुत ज्यादा ही होगा??🤔😜
अडानी देश के उद्धारक है। 🤔🤫

Hindenberg report सब साजिश है गोरों की,वो अडानी के दानी रूप से जलते है...",2,0
63,2023-02-06 15:06:11+00:00,1622612624902094849,@Ksareen30 @SadhguruJV Yes but what if the institutions that are supposed to monitor such issues are themselves bent to political will? Why did they shut down this issue whenever MPs brought it up in parliament months before the #Hindenberg report? Why aren't they allowing debates on this issue 1/n,0,0
64,2023-02-06 15:02:21+00:00,1622611662615478272,"a firm #hindenberg to  earn ""their"" livelihood! No one can blame them, their very business is ""hit report"",they have legal sanctions in friend country USA! It all was ball in @gautam_adani court... the base of counter...Modi-Shah can't do even if desire in heart! #AdaniGroups",0,0
65,2023-02-06 14:32:20+00:00,1622604109684645890,@JhaSanjay But you beat them all single handedly. Even Harish Salve and former SEBI chief r of the opinion that this is a hit job. That Hindenberg is a short seller and would benefit by this report makes it even more unreliable. And the short seller can vouch 4 PPL like u to cre8 the envt.,4,0
66,2023-02-06 14:28:12+00:00,1622603066876002305,The people who have been jumping on the Hindenberg report that LIC and banking system are held ransom to adani whims and fancy pl chip a coffee,22,3
67,2023-02-06 14:24:33+00:00,1622602147769778178,"@ShivamdixitInd @hiteshshankar @epanchjanya @RSSorg @AvdheshanandG @rammadhav_ @smitaprakash @ANI @PIB_India @KirenRijiju @ianuragthakur When u ppl will wake up from ur SLUMBER &amp; IDENTIFY THESE INTERNAL ENEMIES???.. 2024 WAR already started but @BJP4India is always on defensive.. Hindenberg report,BBC doc,Ramcharitamanas controversy r just the starters.. Don't wait for fire fighting.. Be proactive",0,0
68,2023-02-06 14:10:56+00:00,1622598722218758145,Bullshit narrative of Hindenberg report being an attack on India. More than 5000 stocks and they chose Adani to attack India? Why? Because Adani's way of operating his business raised alarming and genuine questions on its credibility. Period,0,0
69,2023-02-06 13:55:12+00:00,1622594764456755201,This might be the reason for the Hindenberg Report. The West and Islamists cannot digest the growth of India and the close ties of India and Israel,2,0
70,2023-02-06 13:50:07+00:00,1622593481851174913,@sumanthraman @Isriramseshadri What is the source of investigation? Hindenberg report? Or is there any other Prima Facie eveidence to start an investigation?,1,0
71,2023-02-06 13:42:02+00:00,1622591451031908354,"@virendersehwag Bro please get some eduction about this issue rather than being ignorant and baised.
Adani is Not India
Make it clear 🙏
Had they been Honest,The reply to Hindenberg report wouldn't have been in the same way.
I think u r great at cricket and jokes plz stick to them.. We Love You",0,0
72,2023-02-06 13:28:52+00:00,1622588136785330177,@svaradarajan @thewire_in Don't forget that Islamist-Commie-Congi gang want to punish Modi for allegation made in #HindenbergReport.,0,0
73,2023-02-06 12:04:54+00:00,1622567006015979523,"@prItaM4753 @Madhukarkumar12 @beingarun28 Doglapan tumme hai sahab,Hindenberg ko ussi ke country ne ban ker rakha hai for obvious reasons,research ker,Mohua Mitra ke statements use kiye gaye hain,as it were..beta,sab toolkit gang ka kia dhara hai..gaddari? Can u prove it coz Hindenberg can't..post this report shares fell",0,0
